Year,Brand,Model,Mileage_k,Mileage,Rating,Review Count,Price
2023,Mercedes-Benz,GLC 300 4MATIC Coupe,10,489,4.8,184,"$50,905 "
2020,Mercedes-Benz,AMG S 63  4MATIC,18,39,4,"3,563","$98,509 "
2021,Mercedes-Benz,AMG GT C,26,307,4.7,29,"$75,850 "
2022,Mercedes-Benz,GLE 350 ,43,673,4,15,"$49,445 "
2022,Mercedes-Benz,AMG E 53 4MATIC,30,286,3.6,376,"$63,987 "
2019,Mercedes-Benz,AMG GLE 43  4MATIC,59,907,4.5,991,"$45,375 "
2023,Mercedes-Benz,EQB 300  4MATIC,2,199,4.7,"2,308","$54,777 "
2023,Mercedes-Benz,GLE 350  4MATIC,10,799,5,98,"$61,997 "
2021,Mercedes-Benz,A-Class 4MATIC,25,161,4.3,112,"$27,477 "
2023,Mercedes-Benz,EQB 300 4MATIC,6,58,4,526,"$47,995 "
2021,Mercedes-Benz,AMG GT 63 4-Door,17,898,4.7,"1,594","$110,950 "
2021,Mercedes-Benz,CLA 250 ,47,54,4.6,483,"$30,323 "
2019,Mercedes-Benz,GLS 550  4MATIC,49,793,4.6,"1,847","$45,950 "
2022,Mercedes-Benz,GLC 300  4MATIC,15,180,4.7,29,"$41,850 "
2023,Mercedes-Benz,CLA 250  4MATIC,9,700,4,11,"$39,999 "
2022,Mercedes-Benz,AMG SL 63 ,0,588,4.6,673,"$144,870 "
2022,Mercedes-Benz,S-Class S 500 4MATIC,25,804,4.8,"1,354","$80,594 "
2023,Mercedes-Benz,EQS 580  4MATIC,6,307,4.9,"2,166","$109,554 "
2021,Mercedes-Benz,AMG GLE 53 4MATIC Coupe,46,381,4.8,558,"$66,413 "
2019,Mercedes-Benz,AMG GT 63 S 4-Door,37,0,4.9,"2,054","$99,997 "
2023,Mercedes-Benz,EQE 500  4MATIC,9,649,4.9,"1,411","$65,595 "
2023,Mercedes-Benz,GLS 580 4MATIC,10,998,4.7,244,"$99,998 "
2023,Mercedes-Benz,EQS 450  4MATIC,5,439,4,"3,563","$103,044 "
2021,Mercedes-Benz,GLE 350,25,37,4,60,"$50,994 "
2024,Mercedes-Benz,GLE 450 4MATIC,0,515,4.7,"2,891","$75,998 "
2021,Mercedes-Benz,AMG GT R,2,183,4.5,615,"$123,881 "
2022,Mercedes-Benz,E-Class E 350 4MATIC,2,953,4.8,"1,354","$50,194 "
2020,Mercedes-Benz,GLE 350,36,812,4.9,848,"$45,142 "
2021,Mercedes-Benz,GLE 580 AWD 4MATIC,44,675,2.7,59,"$62,000 "
2023,Mercedes-Benz,EQB 350  4MATIC,1,581,4.4,"1,515","$63,777 "
2023,Mercedes-Benz,E-Class E 350 4MATIC,3,493,3,471,"$57,499 "
2023,Mercedes-Benz,S-Class S 500 4MATIC,3,284,4,1,"$103,500 "
2016,Mercedes-Benz,GLC-Class GLC 300 4MATIC,77,307,4.7,557,"$18,578 "
2023,Mercedes-Benz,GLS 580 4MATIC,6,182,4.7,662,"$96,713 "
2023,Mercedes-Benz,EQB 250 ,1,899,4.5,"2,204","$49,988 "
2017,Mercedes-Benz,AMG SLC 43 ,42,66,3.1,133,"$35,999 "
2024,Mercedes-Benz,GLE 450 4MATIC,7,551,4,147,"$73,800 "
2020,Mercedes-Benz,AMG GT ,24,144,4.3,419,"$89,597 "
2021,Mercedes-Benz,AMG GT 43 ,13,816,4.2,821,"$72,490 "
2023,Mercedes-Benz,GLB 250  4MATIC,5,492,4.7,316,"$42,640 "
2023,Mercedes-Benz,Metris ,4,385,4.3,"1,491","$48,932 "
2023,Mercedes-Benz,EQE 500  4MATIC,9,649,4.9,"1,411","$65,595 "
2021,Mercedes-Benz,G-Class G 550 4MATIC,10,218,4.7,557,"$159,990 "
2024,Mercedes-Benz,GLC 300  4MATIC,0,375,4,526,"$56,998 "
2023,Mercedes-Benz,EQE 350+,6,540,5,10,"$60,495 "
2019,Mercedes-Benz,E-Class E 300,25,35,4.3,352,"$34,551 "
2019,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,45,827,4.7,29,"$48,350 "
2023,Mercedes-Benz,CLA 250,10,200,4,11,"$41,999 "
2020,Mercedes-Benz,GLE 350  4MATIC,27,66,4.7,110,"$43,399 "
2021,Mercedes-Benz,AMG E 63 S 4MATIC,39,325,4,"3,563","$86,925 "
2023,Mercedes-Benz,EQB 250 ,2,897,4.9,"2,166","$52,744 "
2024,Mercedes-Benz,AMG GLE 53,0,134,4,1000,"$89,900 "
2020,Mercedes-Benz,AMG GLC 63 S 4MATIC,43,747,4.3,"1,491","$57,007 "
2019,Mercedes-Benz,GLC 350e  4MATIC,27,751,4,2,"$28,484 "
2019,Mercedes-Benz,GLC 350e  4MATIC,52,646,4.3,"1,491","$24,999 "
2023,Mercedes-Benz,EQB 250 ,0,982,4.4,"2,963","$49,988 "
2021,Mercedes-Benz,G-Class G 550 4MATIC,39,865,4.3,419,"$128,887 "
2022,Mercedes-Benz,GLS 450 4MATIC,45,751,4.4,203,"$61,998 "
2021,Mercedes-Benz,GLE 350  4MATIC,17,741,4.5,272,"$46,995 "
2020,Mercedes-Benz,AMG A 35 ,25,738,3.4,"1,008","$43,495 "
2021,Mercedes-Benz,GLE 350  4MATIC,37,48,4.1,"1,248","$47,647 "
2023,Mercedes-Benz,EQB 300  4MATIC,1,234,4.7,"2,308","$46,777 "
2021,Mercedes-Benz,A-Class A 220 4MATIC,16,385,4,37,"$30,400 "
2023,Mercedes-Benz,EQS 450  4MATIC,11,69,4.7,"2,308","$85,292 "
2023,Mercedes-Benz,EQE 500  4MATIC,4,31,4.8,752,"$69,287 "
2020,Mercedes-Benz,AMG E 53 4MATIC,29,966,4.9,993,"$50,997 "
2020,Mercedes-Benz,AMG S 63 4MATIC,50,401,4.8,902,"$78,999 "
2024,Mercedes-Benz,GLE 350  4MATIC,4,901,4.6,483,"$72,293 "
2021,Mercedes-Benz,G-Class G 550 4MATIC,31,448,4,"3,563","$142,825 "
2023,Mercedes-Benz,EQB 300  4MATIC,2,427,4.5,344,"$53,988 "
2022,Mercedes-Benz,EQS 450+ 4MATIC,13,459,4.3,352,"$86,249 "
2023,Mercedes-Benz,EQB 250 ,4,720,4.9,"2,166","$56,004 "
2022,Mercedes-Benz,E-Class E 350,23,23,4.8,"1,758","$45,982 "
2022,Mercedes-Benz,A-Class A 220,6,566,4.8,"1,094","$29,598 "
2021,Mercedes-Benz,AMG A 35 ,36,1,3.4,"1,008","$37,995 "
2018,Mercedes-Benz,AMG GLE 43  4MATIC,80,969,4.5,991,"$28,954 "
2023,Mercedes-Benz,AMG GLA 35 ,11,100,2.5,452,"$44,999 "
2023,Mercedes-Benz,EQE 500,5,147,4.4,"1,096","$80,994 "
2024,Mercedes-Benz,GLE 450 4MATIC,8,695,4.8,902,"$72,865 "
2022,Mercedes-Benz,GLB 250 ,16,300,4.9,"1,411","$36,295 "
2022,Mercedes-Benz,GLB 250 ,28,40,4.3,112,"$35,897 "
2020,Mercedes-Benz,E-Class E 450 4MATIC,16,47,4.2,786,"$44,210 "
2023,Mercedes-Benz,CLA 250  4MATIC,3,160,4.7,94,"$40,000 "
2023,Mercedes-Benz,AMG G 63 4MATIC,5,577,4.9,"1,411","$221,994 "
2023,Mercedes-Benz,AMG GLB 35 ,2,708,4.9,274,"$53,895 "
2016,Mercedes-Benz,AMG G 4MATIC,56,733,4,526,"$86,995 "
2019,Mercedes-Benz,AMG GLS 63  4MATIC,61,358,4,9,"$57,988 "
2020,Mercedes-Benz,E-Class E 450 4MATIC,33,65,4.2,786,"$41,280 "
2024,Mercedes-Benz,GLC 300  4MATIC,4,913,4,526,"$49,995 "
2023,Mercedes-Benz,GLA 250 ,8,798,4.3,352,"$40,999 "
2020,Mercedes-Benz,E-Class E 450,39,807,4.2,786,"$38,200 "
2021,Mercedes-Benz,A-Class 4MATIC,70,38,4.5,"1,102","$23,949 "
2023,Mercedes-Benz,S-Class 4MATIC,13,660,4.8,902,"$98,140 "
2019,Mercedes-Benz,C-Class C 300,37,688,4,1000,"$27,995 "
2023,Mercedes-Benz,Sprinter 2500 170 WB,1,357,4.3,419,"$56,997 "
2020,Mercedes-Benz,GLE 350  4MATIC,32,889,4.5,344,"$47,875 "
2021,Mercedes-Benz,AMG GLS 63 ,24,247,4,526,"$99,777 "
2020,Mercedes-Benz,GLE 350  4MATIC,65,645,5,98,"$39,497 "
2020,Mercedes-Benz,GLC 350e  4MATIC,34,42,4.5,949,"$37,490 "
2024,Mercedes-Benz,GLE 450 Plug-In Hybrid  4MATIC,9,638,4.6,827,"$76,589 "
2023,Mercedes-Benz,Metris ,5,218,4.8,186,"$51,500 "
2024,Mercedes-Benz,GLE 350  4MATIC,5,690,4.9,848,"$67,466 "
2023,Mercedes-Benz,GLE 450 GLE 450,15,375,4.8,899,"$64,876 "
2019,Mercedes-Benz,GLE 400  4MATIC,33,972,4.4,"1,838","$33,397 "
2023,Mercedes-Benz,C-Class C 300,7,485,4.7,611,"$47,893 "
2019,Mercedes-Benz,AMG GT C,25,399,3.6,376,"$87,987 "
2022,Mercedes-Benz,AMG CLA 35  4MATIC,36,238,4.8,"1,661","$44,898 "
2021,Mercedes-Benz,GLB 250 ,35,924,4.7,"1,371","$36,131 "
2019,Mercedes-Benz,E-Class E 300,22,406,4.3,352,"$36,991 "
2024,Mercedes-Benz,GLE 350  4MATIC,9,838,4.5,"2,465","$64,815 "
2020,Mercedes-Benz,GLS 450,34,0,4.2,786,"$51,490 "
2019,Mercedes-Benz,CLS 450  4MATIC,9,985,4.6,"1,018","$47,999 "
2021,Mercedes-Benz,CLA 250  4MATIC,25,932,4.8,184,"$32,300 "
2023,Mercedes-Benz,AMG GLE 53 ,15,559,4.2,821,"$85,000 "
2023,Mercedes-Benz,EQB 300 4MATIC,8,146,4.4,297,"$54,987 "
2023,Mercedes-Benz,AMG C 43  4MATIC,2,618,4.1,522,"$58,375 "
2023,Mercedes-Benz,GLC 300  4MATIC,10,401,4.7,110,"$46,099 "
2022,Mercedes-Benz,AMG GLE 53,16,557,4,24,"$78,000 "
2022,Mercedes-Benz,EQB 350 EQB 350,11,441,3.1,133,"$39,999 "
2018,Mercedes-Benz,AMG GT R,1,282,4.7,449,"$150,000 "
2024,Mercedes-Benz,GLE 350  4MATIC,10,143,4.5,"2,465","$62,988 "
2023,Mercedes-Benz,EQB 300  4MATIC,2,663,4.6,"1,915","$63,550 "
2022,Mercedes-Benz,A-Class 4MATIC,17,88,4.5,"1,102","$30,904 "
2023,Mercedes-Benz,AMG GLA 35,5,33,4.9,848,"$46,912 "
2019,Mercedes-Benz,AMG GLC 63  4MATIC,16,887,4.4,"2,339","$54,998 "
2023,Mercedes-Benz,AMG E 63 S 4MATIC,8,712,4.9,"2,166","$157,771 "
2021,Mercedes-Benz,GLE 350  4MATIC,29,344,4.3,112,"$44,997 "
2021,Mercedes-Benz,AMG CLA 35  4MATIC,35,773,4.8,558,"$38,482 "
2020,Mercedes-Benz,AMG S 63  4MATIC,19,679,3.4,479,"$164,900 "
2023,Mercedes-Benz,EQE 500  4MATIC,1,785,4.7,911,"$74,994 "
2022,Mercedes-Benz,GLE 350  4MATIC,15,245,3.2,157,"$54,981 "
2021,Mercedes-Benz,AMG G 63 4MATIC,19,25,4.7,662,"$169,661 "
2024,Mercedes-Benz,GLE 350  4MATIC,10,525,4.5,"2,465","$62,988 "
2024,Mercedes-Benz,GLE 350  4MATIC,9,411,4.5,"2,465","$73,495 "
2021,Mercedes-Benz,E-Class E 350,30,474,4.6,304,"$39,100 "
2021,Mercedes-Benz,AMG GLA 35 ,18,456,4.6,827,"$38,689 "
2022,Mercedes-Benz,AMG GLE 53 ,15,78,4.7,557,"$76,286 "
2024,Mercedes-Benz,GLE 350  4MATIC,9,887,4.5,"2,465","$64,955 "
2023,Mercedes-Benz,Sprinter 2500 Standard Roof,19,165,4.8,752,"$50,988 "
2023,Mercedes-Benz,AMG G 63 4MATIC,9,790,4.7,662,"$203,999 "
2023,Mercedes-Benz,GLA 250  4MATIC,6,929,4.9,"3,116","$38,288 "
2021,Mercedes-Benz,AMG G 63 4MATIC,13,159,4.7,662,"$179,120 "
2022,Mercedes-Benz,GLE 350,13,467,4,60,"$56,994 "
2022,Mercedes-Benz,GLS 450 4MATIC,34,768,4.9,65,"$64,995 "
2019,Mercedes-Benz,A-Class A 220,57,471,5,"1,782","$24,688 "
2024,Mercedes-Benz,GLE 350  4MATIC,4,402,3.3,86,"$65,507 "
2023,Mercedes-Benz,C-Class C 300,5,3,4.9,"2,166","$47,882 "
2021,Mercedes-Benz,AMG GT C,15,371,5,"4,823","$80,995 "
2023,Mercedes-Benz,EQB 350  4MATIC,3,171,4.9,"2,166","$58,883 "
2023,Mercedes-Benz,C-Class C 300 4MATIC,2,16,4.4,"2,339","$45,998 "
2020,Mercedes-Benz,E-Class E 350 4MATIC,39,606,4.9,322,"$36,125 "
2023,Mercedes-Benz,C-Class C 300 4MATIC,11,382,5,98,"$42,997 "
2020,Mercedes-Benz,GLS 450  4MATIC,52,587,4.7,244,"$49,495 "
2024,Mercedes-Benz,GLC 300  4MATIC,5,682,4,526,"$49,995 "
2022,Mercedes-Benz,AMG G 63 4MATIC,0,939,4.8,"2,002","$219,995 "
2023,Mercedes-Benz,CLA 250 ,3,879,4.8,"1,735","$44,150 "
2021,Mercedes-Benz,Maybach GLS 600 4MATIC,28,632,4.7,244,"$129,995 "
2023,Mercedes-Benz,GLB 250 ,2,705,4.6,"1,915","$46,288 "
2019,Mercedes-Benz,AMG E 63 S 4MATIC,40,783,4.6,122,"$69,998 "
2020,Mercedes-Benz,GLB 250  4MATIC,24,923,4.9,"2,350","$33,498 "
2023,Mercedes-Benz,AMG E 53 4MATIC,7,977,3.7,113,"$89,990 "
2024,Mercedes-Benz,GLC 300 ,2,960,4,543,"$58,991 "
2023,Mercedes-Benz,S-Class S 580 4MATIC,7,986,4.5,344,"$124,988 "
2020,Mercedes-Benz,E-Class E 450,38,475,4.8,"1,758","$39,982 "
2019,Mercedes-Benz,C-Class C 300,71,408,4.8,969,"$22,913 "
2023,Mercedes-Benz,AMG EQS ,3,812,4.3,419,"$109,997 "
2023,Mercedes-Benz,AMG CLA 35  4MATIC,4,433,4.8,"2,468","$53,983 "
2022,Mercedes-Benz,EQS 580  4MATIC,6,451,4.9,"2,166","$98,444 "
2023,Mercedes-Benz,AMG GLB 35 ,2,978,4.9,274,"$52,495 "
2022,Mercedes-Benz,EQS 450+,11,692,4,47,"$55,699 "
2023,Mercedes-Benz,GLS 450 4MATIC,10,795,4,526,"$80,654 "
2023,Mercedes-Benz,EQB 300  4MATIC,3,688,5,"1,502","$55,990 "
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,71,558,4.7,"1,014","$38,492 "
2023,Mercedes-Benz,EQB 250 ,7,793,4.6,"1,171","$44,777 "
2017,Mercedes-Benz,AMG S 63 4MATIC,33,560,4.5,"1,334","$74,999 "
2022,Mercedes-Benz,GLC 300,9,654,4,9,"$40,493 "
2021,Mercedes-Benz,Maybach GLS 600,23,918,4,50,"$129,618 "
2021,Mercedes-Benz,AMG GLE 53 ,64,64,4,50,"$53,791 "
2020,Mercedes-Benz,GLB 250  4MATIC,21,62,4.4,295,"$32,339 "
2024,Mercedes-Benz,GLE 350  4MATIC,3,538,4.4,"2,963","$63,208 "
2019,Mercedes-Benz,C-Class 4MATIC,57,557,4.4,297,"$21,900 "
2023,Mercedes-Benz,E-Class E 450 4MATIC,3,51,4.1,522,"$59,410 "
2020,Mercedes-Benz,A-Class A 220 4MATIC,41,972,4.2,862,"$24,991 "
2015,Mercedes-Benz,E-Class E 400 4MATIC,77,546,4.7,557,"$20,437 "
2023,Mercedes-Benz,AMG GLB 35 ,11,619,4.6,"1,915","$46,980 "
2022,Mercedes-Benz,GLC 300  4MATIC,16,543,4.8,"1,735","$41,584 "
2021,Mercedes-Benz,E-Class E 350 4MATIC,30,619,4.7,557,"$40,970 "
2019,Mercedes-Benz,SLC 300 ,28,255,3.1,133,"$30,791 "
2023,Mercedes-Benz,GLB 250 ,4,989,4.9,"2,166","$45,994 "
2020,Mercedes-Benz,C-Class C 300 4MATIC,38,370,4.9,65,"$26,840 "
2020,Mercedes-Benz,S-Class S 450,43,143,4,543,"$50,991 "
2021,Mercedes-Benz,GLA 250  4MATIC,43,722,4.4,295,"$27,500 "
2023,Mercedes-Benz,CLA 250  4MATIC,8,193,4.3,112,"$38,497 "
2023,Mercedes-Benz,EQB 250 ,4,9,4.8,"1,291","$43,900 "
2023,Mercedes-Benz,EQB 300  4MATIC,2,94,4.7,"2,308","$47,777 "
2022,Mercedes-Benz,GLE 350  4MATIC,23,96,4.5,"2,465","$49,988 "
2020,Mercedes-Benz,SLC 300 ,39,305,4.9,"2,506","$37,539 "
2023,Mercedes-Benz,C-Class C 300 4MATIC,6,665,4.9,"1,411","$44,995 "
2022,Mercedes-Benz,GLC 300 4MATIC Coupe,13,878,4.7,29,"$49,850 "
2023,Mercedes-Benz,GLB 250  4MATIC,3,160,4.6,696,"$43,888 "
2023,Mercedes-Benz,EQB 250 ,7,715,4.6,"1,171","$43,860 "
2021,Mercedes-Benz,AMG C 43  4MATIC,10,806,4,2,"$61,000 "
2020,Mercedes-Benz,AMG A 35 4MATIC,7,831,4.3,352,"$40,016 "
2022,Mercedes-Benz,GLC 300,11,291,4.4,79,"$52,188 "
2023,Mercedes-Benz,AMG GLA 45 ,8,440,4.3,419,"$55,997 "
2023,Mercedes-Benz,AMG E 63,18,327,2.9,70,"$141,215 "
2020,Mercedes-Benz,GLB 250 ,30,597,4.6,735,"$32,000 "
2020,Mercedes-Benz,GLC 300  4MATIC,22,365,4.1,522,"$34,495 "
2022,Mercedes-Benz,GLS 450 4MATIC,9,123,4.6,800,"$69,992 "
2023,Mercedes-Benz,EQS 580  4MATIC,6,307,4.9,"2,166","$109,554 "
2017,Mercedes-Benz,Metris ,194,43,4.3,"1,491","$8,999 "
2023,Mercedes-Benz,GLB 250  4MATIC,6,569,4.4,295,"$44,299 "
2023,Mercedes-Benz,AMG GLA 35 ,7,3,4.9,"2,501","$46,417 "
2023,Mercedes-Benz,GLB 250  4MATIC,5,534,4.6,696,"$44,222 "
2020,Mercedes-Benz,GLC 300  4MATIC,51,599,4.1,522,"$28,995 "
2021,Mercedes-Benz,A-Class A 220,20,822,4.6,981,"$28,999 "
2021,Mercedes-Benz,GLE 450 4MATIC,23,396,5,378,"$54,981 "
2020,Mercedes-Benz,GLA 250 ,36,278,4.7,"1,371","$26,667 "
2023,Mercedes-Benz,EQS 450  4MATIC,7,181,4.8,752,"$76,987 "
2023,Mercedes-Benz,C-Class C 300 4MATIC,13,744,3,471,"$40,699 "
2023,Mercedes-Benz,AMG GLA 45 ,9,60,4.5,996,"$49,884 "
2023,Mercedes-Benz,GLB 250  4MATIC,4,740,4.9,"2,166","$45,553 "
2023,Mercedes-Benz,GLS 450 4MATIC,4,227,3,33,"$81,000 "
2023,Mercedes-Benz,CLA 250  4MATIC,3,855,4.6,696,"$43,888 "
2021,Mercedes-Benz,A-Class A 220 4MATIC,9,634,4.6,"5,510","$30,966 "
2023,Mercedes-Benz,GLC 300  4MATIC,5,18,4.8,184,"$48,220 "
2023,Mercedes-Benz,EQS 450+ ,11,862,4.9,911,"$74,442 "
2023,Mercedes-Benz,EQE 350+ 350+ SUV,10,378,4,526,"$70,500 "
2021,Mercedes-Benz,GLC 300  4MATIC,16,647,4.1,"1,248","$37,037 "
2021,Mercedes-Benz,AMG E 53  4MATIC,16,345,4.4,"1,231","$69,612 "
2023,Mercedes-Benz,EQS 580  4MATIC,6,307,4.9,"2,166","$109,554 "
2023,Mercedes-Benz,CLA 250  4MATIC,6,999,4.7,197,"$42,900 "
2020,Mercedes-Benz,GLB 250  4MATIC,26,682,4.6,122,"$32,298 "
2020,Mercedes-Benz,CLA 250,26,732,4,50,"$29,211 "
2020,Mercedes-Benz,GLC 300 ,46,916,4,2,"$30,500 "
2021,Mercedes-Benz,A-Class A 220,31,0,4.7,416,"$29,991 "
2020,Mercedes-Benz,GLA 250 ,14,225,4.7,318,"$26,885 "
2021,Mercedes-Benz,AMG GLE 53 4MATIC Coupe,71,405,4.7,"1,171","$69,990 "
2023,Mercedes-Benz,E-Class E 350,5,52,4.9,"2,166","$58,003 "
2022,Mercedes-Benz,EQS 580  4MATIC,7,964,4.6,"1,018","$77,306 "
2023,Mercedes-Benz,GLC 300  4MATIC,5,155,4.7,94,"$48,982 "
2023,Mercedes-Benz,GLB 250  4MATIC,4,840,4.4,295,"$44,933 "
2021,Mercedes-Benz,AMG GLA 35 ,33,414,3.4,"1,008","$41,497 "
2023,Mercedes-Benz,CLA 250,7,455,4,24,"$40,000 "
2021,Mercedes-Benz,CLS 450,29,560,4,649,"$48,950 "
2023,Mercedes-Benz,GLB 250  4MATIC,9,957,4.5,991,"$41,574 "
2020,Mercedes-Benz,A-Class A 220,46,285,4.7,"2,891","$29,000 "
2014,Mercedes-Benz,SLK-Class SLK 250,61,628,4,1000,"$21,844 "
2021,Mercedes-Benz,AMG GLB 35 4MATIC,23,904,4.8,"2,241","$44,185 "
2023,Mercedes-Benz,AMG GLS 63  4MATIC,2,30,4.6,"1,089","$134,495 "
2021,Mercedes-Benz,C-Class,24,71,4,649,"$30,985 "
2023,Mercedes-Benz,E-Class E 350,5,52,4.9,"2,166","$58,003 "
2023,Mercedes-Benz,CLS 450  4MATIC,4,904,4.9,"2,375","$68,990 "
2021,Mercedes-Benz,C-Class C 300 4MATIC,29,920,4.9,274,"$27,495 "
2019,Mercedes-Benz,AMG E 63 S 4MATIC,38,577,4.8,"5,398","$69,892 "
2020,Mercedes-Benz,GLC 300  4MATIC,30,622,4.8,"2,468","$32,984 "
2023,Mercedes-Benz,EQB 350  4MATIC,4,48,4.6,"1,915","$62,777 "
2023,Mercedes-Benz,C-Class 4MATIC Sedan,44,646,4.3,159,"$42,991 "
2023,Mercedes-Benz,E-Class E 350,5,289,4.9,"2,166","$56,111 "
2024,Mercedes-Benz,GLC 300  4MATIC,0,760,4,526,"$61,285 "
2022,Mercedes-Benz,C-Class 4MATIC Sedan,9,450,4.3,159,"$39,987 "
2022,Mercedes-Benz,GLC 300  4MATIC,13,980,4,236,"$41,988 "
2023,Mercedes-Benz,EQB 350  4MATIC,2,986,4.7,"2,308","$53,777 "
2023,Mercedes-Benz,GLA 250  4MATIC,7,320,3.2,157,"$42,981 "
2023,Mercedes-Benz,Maybach GLS 600 4MATIC,17,867,4.5,97,"$157,991 "
2023,Mercedes-Benz,EQE 350  4MATIC,5,82,4.7,254,"$74,519 "
2023,Mercedes-Benz,GLB 250 ,4,989,4.9,"2,166","$45,994 "
2023,Mercedes-Benz,EQE 350  4MATIC,2,501,4.7,"1,424","$72,777 "
2023,Mercedes-Benz,Sprinter 2500 170 WB,56,282,4.2,821,"$38,995 "
2021,Mercedes-Benz,Sprinter 3500 144 WB,27,171,4,236,"$58,990 "
2022,Mercedes-Benz,GLC 300  4MATIC,16,796,4,236,"$41,990 "
2023,Mercedes-Benz,EQS 450+ ,5,845,4.6,"1,915","$85,777 "
2023,Mercedes-Benz,EQB 350  4MATIC,3,171,4.9,"2,166","$58,883 "
2024,Mercedes-Benz,GLS 580,6,940,4,9,"$118,988 "
2023,Mercedes-Benz,EQS 450+ ,7,402,4.5,344,"124,455"
2022,Mercedes-Benz,GLE 350  4MATIC,29,361,4,1,"$53,900 "
2023,Mercedes-Benz,CLA 250  4MATIC,2,677,4,50,"$43,299 "
2023,Mercedes-Benz,EQB 250,7,159,4.8,173,"$44,421 "
2016,Mercedes-Benz,AMG S AMG S 63 4MATIC,43,20,4,0,"$51,990 "
2020,Mercedes-Benz,A-Class A 220,52,979,4,526,"$26,995 "
2023,Mercedes-Benz,GLB 250 ,4,358,4.7,244,"$45,485 "
2023,Mercedes-Benz,EQE 500  4MATIC,9,649,4.9,"1,411","$65,595 "
2023,Mercedes-Benz,CLA 250  4MATIC,3,378,4.6,696,"$40,888 "
2022,Mercedes-Benz,C-Class C 300 4MATIC,10,262,3.2,98,"$39,995 "
2020,Mercedes-Benz,GLE 350 ,44,582,2.9,70,"$37,872 "
2021,Mercedes-Benz,C-Class C 300 4MATIC,36,415,3.2,98,"$29,495 "
2018,Mercedes-Benz,AMG GLE 43,37,441,4,8,"$41,990 "
2023,Mercedes-Benz,AMG GLA 45 ,2,974,4,"3,563","$53,275 "
2023,Mercedes-Benz,S-Class S 580 4MATIC,21,568,4.6,417,"$104,357 "
2024,Mercedes-Benz,CLA 250  4MATIC,2,731,4.6,696,"$48,888 "
2022,Mercedes-Benz,AMG GLE 53 ,22,991,4.3,"1,491","$80,239 "
2021,Mercedes-Benz,C-Class C 300 4MATIC,11,164,3.2,98,"$32,795 "
2023,Mercedes-Benz,GLA 250  4MATIC,4,466,4.4,295,"$38,866 "
2023,Mercedes-Benz,GLB 250  4MATIC,4,740,4.9,"2,166","$45,553 "
2020,Mercedes-Benz,AMG GLC 43  4MATIC,27,480,4.3,159,"$48,487 "
2023,Mercedes-Benz,CLA 250  4MATIC,9,535,4,50,"$44,699 "
2023,Mercedes-Benz,AMG GLC 43  4MATIC,2,220,4.8,899,"$69,459 "
2023,Mercedes-Benz,GLB 250  4MATIC,5,340,4.2,862,"$39,577 "
2023,Mercedes-Benz,EQB 300  4MATIC,1,905,4.7,"2,308","$49,777 "
2023,Mercedes-Benz,EQB 350  4MATIC,4,188,4.8,"1,001","$52,627 "
2023,Mercedes-Benz,GLE 350 4MATIC,15,146,4,79,"$61,880 "
2022,Mercedes-Benz,C-Class C 300,17,261,4.5,344,"$52,500 "
2023,Mercedes-Benz,CLA 250  4MATIC,10,342,4.3,112,"$36,998 "
2022,Mercedes-Benz,GLE 350  4MATIC,17,770,4.2,7,"$57,981 "
2024,Mercedes-Benz,CLA 250  4MATIC,1,713,4.6,696,"$50,515 "
2020,Mercedes-Benz,GLC 300  4MATIC,30,982,3.2,98,"$31,695 "
2021,Mercedes-Benz,S-Class S 580 4MATIC,25,842,4.5,344,"$85,991 "
2022,Mercedes-Benz,GLC 300,8,823,4,0,"$38,000 "
2023,Mercedes-Benz,AMG EQE ,3,132,4.6,"1,018","$77,586 "
2021,Mercedes-Benz,E-Class E 450,37,971,4.9,977,"$56,900 "
2021,Mercedes-Benz,A-Class A 220 4MATIC,29,636,3.9,"1,800","$30,900 "
2020,Mercedes-Benz,GLB 250,26,172,4,47,"$30,877 "
2023,Mercedes-Benz,EQE 350+ ,6,379,4.5,344,"$66,888 "
2023,Mercedes-Benz,EQB 250 ,2,100,4.8,"1,291","$48,000 "
2023,Mercedes-Benz,EQB 350  4MATIC,3,755,4.5,"1,684","$57,995 "
2023,Mercedes-Benz,GLB 250  4MATIC,9,176,4.4,295,"$42,989 "
2024,Mercedes-Benz,C-Class C 300 4MATIC,3,275,4.6,696,"$55,123 "
2023,Mercedes-Benz,GLA 250 ,15,103,4.8,899,"$37,893 "
2020,Mercedes-Benz,AMG GT 53 ,31,372,4.7,449,"$69,500 "
2023,Mercedes-Benz,EQB 250 ,1,225,4.8,"1,291","$45,500 "
2023,Mercedes-Benz,C-Class C 300 4MATIC,5,355,4,12,"$44,500 "
2023,Mercedes-Benz,EQB 350,5,837,4,0,"$55,989 "
2018,Mercedes-Benz,AMG GLE 63,32,31,4,0,"$57,495 "
2020,Mercedes-Benz,GLC 300 ,46,6,4.4,79,"$31,777 "
2023,Mercedes-Benz,CLA 250  4MATIC,2,418,4.6,696,"$40,888 "
2023,Mercedes-Benz,GLB 250  4MATIC,3,484,3.9,"1,800","$45,900 "
2022,Mercedes-Benz,EQB 350  4MATIC,7,556,4.2,821,"$36,900 "
