Year,Brand,Model,Mileage_k,Mileage,Rating,Review Count,Price
2019,Mercedes-Benz,AMG GT 63 S 4-Door,25,850,4.3,"1,491","$98,555 "
2024,Mercedes-Benz,GLC 300 ,2,18,4,526,"$57,445 "
2019,Mercedes-Benz,AMG GT 63 4-Door,17,46,4.9,"2,516","$94,995 "
2023,Mercedes-Benz,GLB 250 ,7,577,4.3,352,"$43,105 "
2016,Mercedes-Benz,Maybach S S 600,49,565,4.5,819,"$55,998 "
2018,Mercedes-Benz,S-Class S 450,40,20,4,12,"$41,000 "
2023,Mercedes-Benz,GLA 250 ,4,188,4,150,"$39,237 "
2023,Mercedes-Benz,E-Class E 350 4MATIC,10,208,4,28,"$58,798 "
2021,Mercedes-Benz,A-Class A 220 4MATIC,12,829,4,79,"$30,880 "
2020,Mercedes-Benz,A-Class A 220 4MATIC,48,598,4,0,"$26,499 "
2020,Mercedes-Benz,GLC 300  4MATIC,39,165,5,98,"$33,497 "
2022,Mercedes-Benz,Maybach S 580 4MATIC,6,488,4.9,"1,411","$177,595 "
2016,Mercedes-Benz,AMG S AMG S 63 4MATIC,26,270,4.5,819,"$69,998 "
2024,Mercedes-Benz,AMG GLE 63 S,5,742,4.3,419,"$120,997 "
2020,Mercedes-Benz,G-Class G 550 4MATIC,10,148,4,1,"$142,000 "
2023,Mercedes-Benz,EQB 250 ,7,145,4.8,"1,018","$48,000 "
2021,Mercedes-Benz,GLS 580  4MATIC,31,248,4.6,"1,018","$73,998 "
2023,Mercedes-Benz,GLE 450 4MATIC,15,151,4,15,"$65,444 "
2023,Mercedes-Benz,GLE 450 GLE 450,13,576,4.8,899,"$69,997 "
2020,Mercedes-Benz,AMG GT R,8,198,4.9,"4,585","$157,500 "
2023,Mercedes-Benz,CLA 250 ,6,282,4.8,"1,735","$45,705 "
2021,Mercedes-Benz,AMG GT 63 4-Door,12,7,4.3,"1,491","$114,750 "
2022,Mercedes-Benz,E-Class E 350,37,992,4.8,902,"$41,948 "
2023,Mercedes-Benz,AMG SL 43 4MATIC+,1,53,4.7,192,"$99,805 "
2023,Mercedes-Benz,Metris ,1,549,4,1,"$39,950 "
2023,Mercedes-Benz,AMG GLC 43 4MATIC Coupe,10,320,4.7,192,"$67,910 "
2023,Mercedes-Benz,AMG C 43  4MATIC,6,889,4.6,716,"$60,312 "
2019,Mercedes-Benz,AMG GLE 63 S 4MATIC Coupe,44,3,4.3,419,"$58,997 "
2020,Mercedes-Benz,E-Class 4MATIC,32,608,4.8,902,"$35,824 "
2023,Mercedes-Benz,GLC 300  4MATIC,3,758,4,377,"$55,995 "
2024,Mercedes-Benz,GLE 350  4MATIC,5,538,4,543,"$70,991 "
2023,Mercedes-Benz,AMG GLE 53 ,25,673,4.7,"1,371","$86,690 "
2020,Mercedes-Benz,GLS 450  4MATIC,45,89,3.9,"1,800","$50,900 "
2023,Mercedes-Benz,AMG CLA 35  4MATIC,10,877,4,15,"$49,400 "
